Stock,Percentage
VST,3.5620570013589403
AXON,3.558534274967742
PWR,3.242117352199869
ANET,3.103094361329603
FTNT,2.4760878489245948
JBL,2.4430796394272254
GE,2.382959018796217
HES,2.282781687342027
META,2.2404390592219765
IRM,2.2111403896790396
EOG,2.1386781097426164
NRG,2.109706207893125
TDG,2.061593635798742
COP,2.031774471645437
TT,2.0300549321409047
CDNS,1.934348830287801
CMG,1.881283105115841
ETN,1.8635414530379053
WELL,1.8505309767289826
DRI,1.8499348334865346
CF,1.7393099184534966
SNPS,1.725052482250153
DE,1.7021982980063675
AAPL,1.6991143291810937
ORCL,1.6285126180547944
SNA,1.6211485038782332
LII,1.5611611182115683
APH,1.4921286769221909
CPRT,1.3607298621579003
PCAR,1.3445750546021693
MET,1.3142746016325728
WFC,1.2083246987781988
JPM,1.1830995332431256
BK,1.150498848324169
GLW,1.1460639463701217
CVX,1.1449395637584696
FAST,1.1334859175204903
SCHW,1.1144510574513424
YUM,1.0900342783472474
TXT,1.087729673301437
BR,1.0479316054873582
ADI,1.0371878166727337
NDAQ,1.032005006216092
FFIV,0.996685843681177
LH,0.8780896808344535
CRM,0.8776207796614585
OTIS,0.8588027547866228
FI,0.8577592806869875
IP,0.8423989382122601
AME,0.8408784163325417
AMZN,0.8158808224107613
ICE,0.7933455975305067
MA,0.7718404744957954
HPQ,0.7105724244281002
HOLX,0.7057228863360859
EXR,0.6868585479202972
HD,0.6781737631336386
TXN,0.6778466319053597
WDAY,0.6706936097309177
XYL,0.6497738820596283
CDW,0.6421451734167815
AVY,0.6421297040558211
LYB,0.6327091739557531
LULU,0.6025095082853873
CTSH,0.554404626224757
SYY,0.5435598815184373
EXPD,0.5199275816704917
ROP,0.507137828057638
GEN,0.4957760078557601
UNP,0.48587174525668386
OMC,0.42111386846700555
SBUX,0.3719207534273574
HON,0.33939793277633673
TFC,0.31619634060774465
ECL,0.2840701953021933
ZTS,0.2443721872278612
UPS,0.21585932712153744
TDY,0.1955784848361895
DPZ,0.19452128298009305
NDSN,0.17068638654568963
FTV,0.14837146634022702
HSIC,0.14234745870534365
AES,0.1115918600407096
ROST,0.08716229323115504
